BnH,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
-0.01023865508877818,-0.008532212573981762,-0.005119327544389069,-0.001706442514796373,-0.010238655088778156,-0.005119327544389087,-0.005119327544389079,-0.008532212573981837,-0.0006726606726605648,-0.000840825840825706,-0.0010089910089908472,-0.000840825840825706,-0.0005044955044954236,-0.0003363303363302824,-0.0006726606726605648
0.014029705563245837,0.011523228362150119,0.006510291291862684,0.0016656235878803251,0.01402970556324587,0.006510303608770507,0.0065103264500942296,0.01152325613453977,0.00467656852108194,0.011691421302704848,0.014029705563245816,0.011691421302704848,0.00701485278162291,0.004508403352916774,0.00935313704216388
0.022321428571428457,0.02232142857142837,0.022321428571428395,0.01843303662549401,0.02232142857142844,0.02232142857142838,0.022321428571428426,0.022321428571428395,0.006936020118705127,0.01860119047619035,0.02232142857142842,0.018433025308025184,0.010992549117549044,0.010824383949383861,0.01488095238095228
-0.013768089790320879,-0.013768089790320756,-0.01376808979032079,-0.013768089790320797,-0.013768089790320815,-0.013768089790320815,-0.013768089790320818,-0.013768089790320836,-0.011641573326765872,-0.011641573326765789,-0.013768089790320749,-0.01376808979032077,-0.009346891695045684,-0.011641573326765832,-0.0091787265268805
-0.012478272802122256,-0.012478272802122332,-0.012478272802122325,-0.012478272802122327,-0.012478272802122319,-0.012478272802122272,-0.012478272802122313,-0.012478272802122282,-0.012478272802122247,-0.012478272802122312,-0.012478272802122325,-0.012478272802122306,-0.010566725836600404,-0.012478272802122275,-0.008318848534748216
0.013265892205361897,0.013265892205361932,0.013265892205361883,0.013265892205361902,0.013265892205361876,0.013265892205361852,0.013265892205361873,0.01326589220536184,0.01326589220536188,0.01326589220536187,0.013265892205361854,0.013265892205361856,0.011054910171134897,0.013265892205361887,0.008843928136907903
-0.003254767869224024,-0.0032547678692241445,-0.003254767869224079,-0.0032547678692240755,-0.0032547678692241007,-0.003254767869224125,-0.0032547678692240716,-0.0032547678692240976,-0.0032547678692241393,-0.0032547678692241397,-0.0032547678692241215,-0.0032547678692241063,-0.0028804532497399907,-0.0032547678692241015,-0.002169845246149414
-0.006897690374419825,-0.006897690374419796,-0.006897690374419824,-0.006897690374419803,-0.006897690374419846,-0.006897690374419796,-0.006897690374419855,-0.006897690374419803,-0.006897690374419824,-0.006897690374419799,-0.006897690374419813,-0.00689769037441982,-0.006897690374419802,-0.0068976903744198135,-0.004598460249613208
-0.013300083125519712,-0.013300083125519674,-0.013300083125519642,-0.013300083125519696,-0.013300083125519642,-0.013300083125519635,-0.013300083125519634,-0.01330008312551967,-0.013300083125519611,-0.013300083125519661,-0.013300083125519654,-0.013300083125519646,-0.013300083125519646,-0.013300083125519653,-0.00886672208367977
-0.0024524946176166925,-0.0024524946176166704,-0.0024524946176166843,-0.0020437455146805105,-0.0024524946176166245,-0.0024524946176166466,-0.002452494617616635,-0.002452494617616607,-0.002452494617616661,-0.0024524946176165937,-0.0024524946176165976,-0.0024524946176166114,-0.002452494617616613,-0.002452494617616621,-0.0016349964117443984
-0.0037534719615644656,-0.003753471961564451,-0.0037534719615644374,-0.0031278933013037594,-0.00250231464104296,-0.0037534719615644357,-0.0037534719615644543,-0.003753471961564448,-0.0037534719615644704,-0.003753471961564499,-0.0037534719615644886,-0.003753471961564482,-0.0031278933013037438,-0.003753471961564491,-0.0025023146410429924
-0.0003955994273227271,-0.00039559942732278166,-0.00039559942732276913,-0.00032966618943562707,-0.0001977997136613994,-0.0003955994273228054,-0.00039559942732280735,-0.0003955994273227732,-0.00039559942732279017,-0.0003955994273228389,-0.00039559942732286926,-0.0003955994273228689,-0.0003296661894356936,-0.00032966618943570226,-0.0002637329515485795
-0.006690160752313277,-0.006690160752313194,-0.00446010716820884,-0.004460107168208823,-0.0011150267920522067,-0.006690160752313218,-0.00669016075231323,-0.005575133960261075,-0.006690160752313213,-0.0066901607523131386,-0.006690160752313123,-0.006690160752313132,-0.0055751339602609605,-0.0055751339602609735,-0.0033450803761565615
-0.0035857934279425667,-0.0029881611899521435,-0.0005976322379904301,-0.0023905289519617094,-0.0005976322379904301,-0.003585793427942617,-0.003585793427942586,-0.0023905289519617176,-0.002988161189952154,-0.003585793427942571,-0.0023905289519617046,-0.00358579342794257,-0.002988161189952158,-0.0029881611899521556,-0.0017928967139712784
-0.019250176126735113,0.0,0.0,-0.0032083626877891986,0.0,-0.006416725375578392,-0.0032083626877891856,-0.003208362687789191,-0.01604181343894594,-0.016041813438945934,-0.006416725375578373,-0.019250176126735113,-0.016041813438945923,-0.009625088063367572,-0.00962508806336756
