Date,open,high,low,close,volume
2000-08-03,567.61,572.34,565.78,568.81,336340.0
2000-08-04,568.81,569.34,565.38,568.24,503400.0
2000-08-07,568.24,568.71,565.66,566.27,196600.0
2000-08-08,566.27,616.03,564.68,615.61,318180.0
2000-08-09,615.61,674.24,613.6,673.3,411000.0
2000-08-10,673.3,741.76,652.13,687.76,873650.0
2000-08-11,687.76,690.24,621.9,632.11,343480.0
2000-08-14,632.11,653.53,631.43,653.42,143090.0
2000-08-15,653.42,653.52,640.2,640.41,187900.0
2000-08-16,640.41,641.12,617.64,630.87,360050.0
2000-08-17,630.87,637.96,623.26,633.19,621260.0
2000-08-18,633.19,639.77,623.81,633.77,1118000.0
2000-08-21,633.77,635.13,619.47,633.67,231810.0
2000-08-22,633.67,633.67,605.3,611.83,250930.0
2000-08-23,611.83,611.83,609.93,610.04,372100.0
2000-08-24,610.04,611.79,555.07,555.32,144110.0
2000-08-25,555.32,558.35,511.4,511.72,117310.0
2000-08-28,511.72,512.55,469.96,471.47,205110.0
2000-08-29,471.47,473.58,470.08,472.68,285700.0
2000-08-30,472.68,476.84,472.21,475.04,720300.0
2000-08-31,475.04,478.14,472.34,472.34,198200.0
2000-09-01,472.34,475.77,471.38,475.17,360300.0
2000-09-04,475.17,481.14,474.15,481.14,549600.0
2000-09-05,481.14,482.84,478.23,480.95,593600.0
2000-09-06,480.95,484.06,480.41,482.01,491400.0
2000-09-07,482.01,489.39,481.88,489.39,488900.0
2000-09-08,489.39,499.98,489.39,498.05,2328000.0
2000-09-11,498.05,509.85,498.05,506.87,1017000.0
2000-09-12,506.87,517.43,497.03,499.26,1166000.0
2000-09-13,499.26,509.48,495.84,508.35,690300.0
2000-09-14,508.35,514.32,503.25,511.3,667900.0
2000-09-15,511.3,518.58,511.3,517.2,469900.0
2000-09-18,517.2,524.74,516.94,520.05,1671000.0
2000-09-19,520.05,526.66,517.2,524.51,3121000.0
2000-09-20,524.51,529.75,507.13,510.28,987700.0
2000-09-21,510.28,514.55,504.9,513.64,554700.0
2000-09-22,513.64,521.33,513.25,513.47,994700.0
2000-09-25,513.47,518.43,508.36,513.52,587700.0
2000-09-26,513.52,527.44,500.17,522.21,1150000.0
2000-09-27,522.21,530.88,517.04,523.73,1127000.0
2000-09-28,523.73,527.02,511.31,514.23,825900.0
2000-09-29,514.23,514.23,500.93,505.94,1341000.0
2000-10-02,505.94,517.34,505.94,509.14,1731000.0
2000-10-03,509.14,512.74,507.05,509.75,1265000.0
2000-10-04,509.75,511.84,500.67,500.67,280100.0
2000-10-05,500.67,503.81,493.82,494.5,853900.0
2000-10-06,494.5,499.04,489.05,498.19,931000.0
2000-10-09,498.19,504.79,495.59,499.95,707800.0
2000-10-10,499.95,506.7,496.23,504.32,1395000.0
2000-10-11,504.32,509.63,504.32,509.07,125200.0
2000-10-12,509.07,516.62,507.19,513.41,1377000.0
2000-10-13,513.41,522.75,513.37,519.12,246000.0
2000-10-16,519.12,522.1,514.34,521.25,327900.0
2000-10-17,521.25,526.73,518.64,518.64,2400000.0
2000-10-18,518.64,525.86,518.64,521.61,170300.0
2000-10-19,521.61,528.93,521.02,528.93,519700.0
2000-10-20,528.93,529.87,523.2,527.24,296100.0
2000-10-23,527.24,533.48,525.95,533.06,573600.0
2000-10-24,533.06,536.0,529.64,534.13,518300.0
2000-10-25,534.13,536.22,530.56,534.72,812200.0
2000-10-26,534.72,535.21,528.98,534.97,1131000.0
2000-10-27,534.97,538.48,528.37,529.86,793500.0
2000-10-30,529.86,534.04,529.86,532.33,196500.0
2000-10-31,532.33,534.76,527.16,528.94,264000.0
2000-11-01,528.94,532.32,525.66,527.24,441600.0
2000-11-02,527.24,530.95,524.15,528.65,283800.0
2000-11-03,528.65,528.65,524.02,525.09,588000.0
2000-11-06,525.09,529.7,521.2,521.2,172800.0
2000-11-07,521.2,522.78,515.71,517.8,557900.0
2000-11-08,517.8,527.24,516.22,527.24,901800.0
2000-11-09,527.24,527.66,520.69,522.88,203500.0
2000-11-10,522.88,529.08,522.88,526.94,253200.0
2000-11-13,526.94,530.0,525.25,525.67,163200.0
2000-11-14,525.67,527.07,521.25,523.44,335400.0
2000-11-15,523.44,524.03,515.61,516.88,220600.0
2000-11-16,516.88,521.64,515.78,516.94,334100.0
2000-11-17,516.94,518.54,511.61,514.75,329900.0
2000-11-20,514.75,522.01,512.93,518.46,648400.0
2000-11-21,518.46,519.06,509.04,509.41,640700.0
2000-11-22,509.41,516.3,506.55,506.83,1195000.0
2000-11-23,506.83,512.28,505.43,512.18,237300.0
2000-11-24,512.18,516.96,512.18,516.37,140300.0
2000-11-27,516.37,516.37,504.08,505.85,641800.0
2000-11-28,505.85,508.85,503.27,505.02,938400.0
2000-11-29,505.02,510.07,499.13,504.62,957600.0
2000-11-30,504.62,512.74,499.47,506.22,782100.0
2000-12-04,506.22,506.78,497.13,502.51,382800.0
2000-12-05,502.51,503.02,497.87,501.18,1099000.0
2000-12-06,501.18,519.97,501.18,519.97,859700.0
2000-12-07,519.97,520.98,511.94,518.06,829200.0
2000-12-08,518.06,523.7,514.83,516.96,250300.0
2000-12-11,516.96,529.55,515.28,529.55,523800.0
2000-12-12,529.55,547.19,529.55,547.19,4097000.0
2000-12-13,547.19,550.64,541.93,543.89,6578000.0
2000-12-14,543.89,544.45,537.16,540.97,503100.0
2000-12-15,540.97,540.97,531.65,531.65,259700.0
2000-12-18,531.65,536.42,529.08,534.12,482500.0
2000-12-19,534.12,543.19,532.63,543.19,1173000.0
2000-12-20,543.19,553.48,541.55,553.48,1634000.0
2000-12-21,553.48,553.48,541.75,543.15,210700.0
2000-12-22,543.15,546.16,542.36,544.72,368800.0
2001-01-03,544.72,556.23,544.72,556.23,221800.0
2001-01-04,556.23,586.55,556.23,586.01,906900.0
2001-01-05,586.01,612.39,585.31,611.52,805500.0
2001-01-08,611.52,614.52,599.36,601.82,446500.0
2001-01-09,601.82,614.52,598.5,612.11,538500.0
2001-01-10,612.11,615.44,605.86,607.16,893500.0
2001-01-11,607.16,626.91,601.65,626.91,520300.0
2001-01-12,626.91,636.9,624.92,627.08,649500.0
2001-01-15,627.08,631.42,614.41,615.61,485400.0
2001-01-16,615.61,631.55,614.01,620.52,820900.0
2001-01-17,620.52,635.64,613.88,630.67,697300.0
2001-01-18,630.67,641.31,630.67,637.43,705200.0
2001-01-19,637.43,645.25,636.53,643.1,586700.0
2001-01-22,643.1,643.52,627.15,627.85,605500.0
2001-01-23,627.85,629.45,624.5,625.29,444400.0
2001-01-24,625.29,626.98,616.32,617.92,384400.0
2001-01-25,617.92,617.92,599.66,601.26,519700.0
2001-01-26,601.26,601.41,586.02,601.41,599500.0
2001-01-29,601.41,616.22,599.71,616.22,691700.0
2001-01-30,616.22,617.05,603.59,604.29,2016000.0
2001-01-31,604.29,611.3,601.5,603.73,1984000.0
2001-02-01,603.73,603.73,590.37,602.36,90200.0
2001-02-02,602.36,602.36,584.48,585.18,109200.0
2001-02-05,585.18,585.18,573.84,574.9,556200.0
2001-02-06,574.9,583.34,563.88,583.34,1133000.0
2001-02-07,583.34,584.48,566.79,566.88,524600.0
2001-02-08,566.88,577.25,565.11,577.25,318400.0
2001-02-09,577.25,578.69,567.3,572.8,581200.0
2001-02-12,572.8,573.85,563.72,564.05,475200.0
2001-02-13,564.05,577.88,563.76,577.43,421400.0
2001-02-14,577.43,591.01,573.41,589.95,528500.0
2001-02-15,589.95,602.33,582.29,602.33,349900.0
2001-02-16,602.33,612.71,599.8,606.57,329700.0
2001-02-19,606.57,606.57,593.41,593.41,224300.0
2001-02-20,593.41,596.41,588.32,588.32,541900.0
2001-02-21,588.32,596.34,586.22,590.75,485200.0
2001-02-22,590.75,594.55,588.37,590.73,483600.0
2001-02-23,590.73,607.2,590.2,607.2,341600.0
2001-02-26,607.2,609.12,600.12,605.28,708600.0
2001-02-27,605.28,606.59,602.49,605.02,271000.0
2001-02-28,605.02,606.02,596.57,598.09,631300.0
2001-03-01,598.09,600.68,589.84,589.84,310700.0
2001-03-02,589.84,598.7,587.64,597.17,380100.0
2001-03-05,597.17,610.59,597.17,610.59,788400.0
2001-03-06,610.59,610.59,601.42,602.47,571700.0
2001-03-07,602.47,608.08,598.84,606.58,364700.0
2001-03-08,606.58,606.58,589.35,601.63,617100.0
2001-03-09,601.63,607.72,600.72,600.72,346600.0
2001-03-12,600.72,607.94,599.4,599.55,568700.0
2001-03-13,599.55,609.36,599.55,609.2,1058000.0
2001-03-14,609.2,616.93,609.2,615.13,645500.0
2001-03-15,615.13,618.86,612.1,616.58,424100.0
2001-03-16,616.58,648.84,616.58,633.45,837100.0
2001-03-19,633.45,637.0,620.83,637.0,965100.0
2001-03-20,637.0,639.08,615.13,615.48,852300.0
2001-03-21,615.48,615.48,591.42,602.26,167700.0
2001-03-22,602.26,602.26,590.23,591.25,127700.0
2001-03-23,591.25,594.12,579.74,581.64,216700.0
2001-03-26,581.64,581.64,566.09,566.09,271200.0
2001-03-27,566.09,590.28,562.74,590.28,256100.0
2001-03-28,590.28,590.28,570.48,578.16,220200.0
2001-03-29,578.16,578.16,558.49,558.79,396900.0
2001-03-30,558.79,562.0,552.38,554.19,328200.0
2001-04-02,554.19,564.28,554.19,560.67,46400.0
2001-04-03,560.67,563.06,551.75,552.94,135600.0
2001-04-04,552.94,552.94,525.37,534.14,32700.0
2001-04-05,534.14,538.84,531.81,538.33,7900.0
2001-04-06,538.33,539.89,531.2,533.82,19300.0
2001-04-09,533.82,536.44,528.32,536.44,39000.0
2001-04-10,536.44,541.95,531.72,531.72,79200.0
2001-04-11,531.72,539.33,530.74,538.98,617600.0
2001-04-12,538.98,544.11,537.4,544.11,233200.0
2001-04-13,544.11,547.34,542.02,542.14,249900.0
2001-04-17,542.14,550.9,542.14,550.9,107700.0
2001-04-18,550.9,555.4,550.06,551.07,382900.0
2001-04-19,551.07,556.89,543.33,543.77,410200.0
2001-04-20,543.77,546.02,540.68,541.95,437400.0
2001-04-23,541.95,548.11,535.04,539.04,597800.0
2001-04-24,539.04,546.63,539.04,541.2,182300.0
2001-04-25,541.2,556.75,541.2,553.19,1024000.0
2001-04-26,553.19,563.25,552.43,560.53,1032000.0
2001-04-27,560.53,579.03,558.82,562.48,471300.0
2001-05-02,562.48,571.84,561.45,568.15,691400.0
2001-05-03,568.15,568.15,550.68,555.45,475600.0
2001-05-04,555.45,556.06,548.87,552.44,886500.0
2001-05-07,552.44,563.32,551.56,562.64,621500.0
2001-05-08,562.64,564.35,554.87,560.74,863000.0
2001-05-09,560.74,562.99,557.69,562.38,524700.0
2001-05-10,562.38,562.83,553.79,554.94,255700.0
2001-05-11,554.94,566.22,552.24,565.99,562300.0
2001-05-14,565.99,569.54,565.38,569.4,626100.0
2001-05-15,569.4,595.15,569.4,593.03,1388000.0
2001-05-16,593.03,593.71,577.97,581.71,561800.0
2001-05-17,581.71,592.9,578.05,588.42,717700.0
2001-05-18,588.42,613.07,588.42,611.68,478200.0
2001-05-21,611.68,614.49,585.53,590.01,641700.0
2001-05-22,590.01,591.29,570.15,575.39,909900.0
2001-05-23,575.39,575.46,567.51,567.51,331600.0
2001-05-24,567.51,571.67,565.71,567.2,416600.0
2001-05-25,567.2,570.09,564.12,566.59,732400.0
2001-05-28,566.59,569.79,566.59,568.24,470200.0
2001-05-29,568.24,571.33,566.37,568.39,401300.0
2001-05-30,568.39,579.24,566.04,579.24,1406000.0
2001-05-31,579.24,583.09,577.49,582.95,857700.0
2001-06-01,582.95,586.34,582.29,584.99,411500.0
2001-06-04,584.99,600.02,584.99,599.73,1387000.0
2001-06-05,599.73,605.26,597.88,603.88,2047000.0
2001-06-06,603.88,617.99,603.88,615.6,380400.0
2001-06-07,615.6,617.55,609.55,609.55,219100.0
2001-06-08,609.55,609.55,602.84,606.46,268600.0
2001-06-11,606.46,607.05,600.64,600.64,2568000.0
2001-06-12,600.64,605.97,599.36,601.88,1610000.0
2001-06-13,601.77,607.62,598.83,599.7,1217000.0
2001-06-14,599.7,600.59,595.6,597.59,705800.0
2001-06-15,597.59,606.36,596.59,604.79,754500.0
2001-06-18,604.79,613.15,604.79,611.84,913300.0
2001-06-19,611.84,628.14,611.84,627.69,822300.0
2001-06-20,627.69,644.21,625.37,632.5,3095000.0
2001-06-21,632.5,636.52,625.26,627.87,1815000.0
2001-06-22,627.87,631.59,626.44,631.59,1183000.0
2001-06-25,631.59,647.45,630.35,647.45,1028000.0
2001-06-26,647.45,651.66,644.92,647.3,1044000.0
2001-06-27,647.3,652.96,642.26,652.11,1127000.0
2001-06-28,652.11,659.84,644.66,652.86,983900.0
2001-06-29,652.86,653.35,647.7,648.57,1557000.0
2001-07-02,648.57,651.44,643.65,643.65,1285000.0
2001-07-03,643.65,644.27,637.88,642.63,850400.0
2001-07-04,642.63,645.12,637.04,637.04,1040000.0
2001-07-05,637.04,639.24,631.18,631.31,770300.0
2001-07-06,631.31,632.7,629.59,631.58,543900.0
2001-07-09,631.58,633.56,623.68,623.68,558200.0
2001-07-10,623.68,623.68,619.31,622.54,647700.0
2001-07-11,622.54,626.82,617.51,626.82,1208000.0
2001-07-12,626.82,626.82,622.71,625.64,845200.0
2001-07-13,625.64,628.85,616.89,628.49,681900.0
2001-07-16,628.49,640.42,627.36,638.48,724700.0
2001-07-17,638.48,653.01,638.48,650.93,1570000.0
2001-07-18,650.93,651.12,634.84,635.87,825900.0
2001-07-19,635.87,638.64,624.67,628.12,861500.0
2001-07-20,628.12,634.2,618.48,629.81,1871000.0
2001-07-23,629.81,633.68,629.6,633.28,1015000.0
2001-07-24,633.28,649.54,629.72,649.52,1103000.0
2001-07-25,649.52,663.29,642.83,648.92,1527000.0
2001-07-26,648.92,655.32,648.92,653.43,986700.0
2001-07-27,653.43,666.93,652.92,660.44,2361000.0
2001-07-30,660.44,667.27,651.67,655.47,862300.0
2001-07-31,655.47,668.87,652.99,668.71,664700.0
2001-08-01,668.71,674.42,666.44,667.39,1603000.0
2001-08-02,667.39,677.55,663.31,675.06,3119000.0
2001-08-03,675.06,678.02,665.55,670.34,1301000.0
2001-08-06,670.34,671.7,660.82,667.81,942600.0
2001-08-07,667.81,682.83,665.84,682.79,807200.0
2001-08-08,682.79,691.33,677.55,691.12,1311000.0
2001-08-09,691.12,721.01,691.12,721.01,1299000.0
2001-08-10,721.01,755.21,719.99,755.21,1824000.0
2001-08-13,755.21,769.64,753.31,761.14,2079000.0
2001-08-14,761.14,770.55,751.53,758.52,2029000.0
2001-08-15,758.52,767.31,750.01,762.75,3287000.0
2001-08-16,762.75,777.87,759.63,762.32,2588000.0
2001-08-17,762.32,770.87,755.35,756.1,1740000.0
2001-08-20,756.1,775.22,750.21,771.81,1674000.0
2001-08-21,771.81,794.98,771.14,780.31,2821000.0
2001-08-22,780.31,790.26,775.16,781.05,2563000.0
2001-08-23,781.05,781.05,770.44,778.74,978600.0
2001-08-24,778.74,789.43,768.95,771.43,1191000.0
2001-08-27,771.43,774.63,758.16,770.26,1519000.0
2001-08-28,770.26,775.0,763.53,769.88,1047000.0
2001-08-29,769.88,771.78,758.9,764.23,653600.0
2001-08-30,764.23,775.97,756.13,771.8,995400.0
2001-08-31,771.8,784.09,771.8,776.07,574800.0
2001-09-03,776.07,783.1,775.57,780.61,691000.0
2001-09-04,780.61,782.94,773.8,773.8,1038000.0
2001-09-05,773.8,779.78,772.49,773.12,885600.0
2001-09-06,773.12,778.2,770.19,776.09,1044000.0
2001-09-07,776.09,776.09,762.91,767.46,495100.0
2001-09-10,767.46,767.46,757.58,758.76,812500.0
2001-09-11,758.76,758.76,742.1,754.17,929700.0
2001-09-12,754.17,754.17,731.33,740.51,1123000.0
2001-09-13,740.51,770.02,735.54,769.07,1134000.0
2001-09-14,769.07,769.07,750.24,757.5,664600.0
2001-09-17,757.5,757.5,734.94,737.8,3799000.0
2001-09-18,737.8,745.15,731.87,734.73,1082000.0
2001-09-19,734.73,738.54,727.63,729.97,1306000.0
2001-09-20,729.97,730.95,713.58,719.35,990000.0
2001-09-21,719.35,720.81,704.96,706.58,934900.0
2001-09-24,706.58,708.14,684.41,685.97,1400000.0
2001-09-25,685.97,712.73,685.97,701.29,1046000.0
2001-09-26,701.29,713.89,699.73,713.89,1159000.0
2001-09-27,713.89,720.91,709.34,715.83,596000.0
2001-09-28,715.83,715.83,707.38,713.75,443800.0
2001-10-01,713.75,715.59,707.48,708.31,333500.0
2001-10-02,708.31,719.48,707.53,719.48,468200.0
2001-10-03,719.48,720.13,702.78,713.93,1088000.0
2001-10-04,713.93,716.93,706.02,707.59,653000.0
2001-10-05,707.59,716.84,705.2,708.56,578600.0
2001-10-08,708.56,708.56,703.94,704.72,787000.0
2001-10-09,704.72,712.3,699.85,712.3,596700.0
2001-10-10,712.3,712.3,691.37,696.64,387400.0
2001-10-11,696.64,699.15,685.54,688.5,323900.0
2001-10-12,688.5,693.36,684.22,684.82,1346000.0
2001-10-15,684.82,689.18,673.83,673.83,360500.0
2001-10-16,673.83,693.17,672.11,693.17,585100.0
2001-10-17,693.17,703.23,689.83,689.83,431300.0
2001-10-18,689.83,705.13,689.19,704.28,313200.0
2001-10-19,704.28,716.4,704.28,709.93,349200.0
2001-10-22,709.93,715.02,709.82,710.68,400200.0
2001-10-23,710.68,717.42,707.22,716.99,319600.0
2001-10-24,716.99,719.71,709.04,712.97,1331000.0
2001-10-25,712.97,724.14,711.78,722.03,364100.0
